node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,parent_domain
record,pubmed_10908542,pubmed_10908542,2000.0,systematic review,biological,0.3359,4.225724697113037,-9.120305061340332,biological
record,pubmed_19160209,pubmed_19160209,2009.0,systematic review,biological,0.3364,4.227396488189697,-9.126277923583984,biological
record,pubmed_40170347,pubmed_40170347,2025.0,scoping or mapping review,psychological,0.3484,2.6038026809692383,-5.551311492919922,psychological
record,pubmed_28371175,pubmed_28371175,2017.0,narrative or expert review,biological,0.3477,3.7710671424865723,-6.794099807739258,biological
record,pubmed_35434749,pubmed_35434749,2022.0,narrative or expert review,biological,0.3577,3.753293037414551,-2.5971949100494385,biological
record,pubmed_7866373,pubmed_7866373,1994.0,narrative or expert review,psychological,0.3373,2.1571850776672363,-10.491863250732422,psychological
record,pubmed_21373784,pubmed_21373784,2011.0,narrative or expert review,social,0.3384,6.2965006828308105,-11.050399780273438,social
record,pubmed_38063895,pubmed_38063895,2024.0,narrative or expert review,biological,0.3458,4.338955402374268,-0.5484856963157654,biological
record,pubmed_29460009,pubmed_29460009,2018.0,systematic review,biological,0.3427,0.5163698196411133,-11.480300903320312,biological
record,pubmed_20425201,pubmed_20425201,2010.0,narrative or expert review,biological,0.3538,5.11435604095459,-2.775998830795288,biological
record,pubmed_22102156,pubmed_22102156,2012.0,narrative or expert review,biological,0.3485,8.617738723754883,-2.0926194190979004,biological
record,pubmed_36527589,pubmed_36527589,2023.0,narrative or expert review,psychological,0.3382,-0.6748749613761902,-4.187506198883057,psychological
record,pubmed_28752491,pubmed_28752491,2017.0,systematic review,psychological,0.35,-0.571075975894928,-5.2195916175842285,psychological
record,pubmed_33563380,pubmed_33563380,2021.0,narrative or expert review,biological,0.3599,5.671910762786865,-1.977332353591919,biological
record,pubmed_17350550,pubmed_17350550,2007.0,narrative or expert review,biological,0.3496,1.9068595170974731,-2.9851746559143066,biological
record,pubmed_23218435,pubmed_23218435,2012.0,narrative or expert review,social,0.3502,5.117588520050049,-10.44534969329834,social
record,pubmed_26096090,pubmed_26096090,2014.0,narrative or expert review,psychological,0.3497,1.8958708047866821,-1.8105154037475586,psychological
record,pubmed_41271285,pubmed_41271285,2026.0,narrative or expert review,psychological,0.3474,-1.3312108516693115,-1.2746614217758179,psychological
record,pubmed_30594766,pubmed_30594766,2019.0,narrative or expert review,biological,0.3495,1.6767112016677856,-9.901531219482422,biological
record,pubmed_29729787,pubmed_29729787,2018.0,narrative or expert review,biological,0.3428,-2.188136577606201,1.074041485786438,biological
record,WOS:000453643300005,WOS:000453643300005,,scoping or mapping review,social,0.3381,0.629824161529541,-9.193904876708984,social
record,pubmed_27344405,pubmed_27344405,2016.0,narrative or expert review,psychological,0.3472,0.9414207339286804,-2.737107992172241,psychological
record,pubmed_26614718,pubmed_26614718,2016.0,narrative or expert review,psychological,0.3456,-0.023537375032901764,-2.369999885559082,psychological
record,pubmed_26614715,pubmed_26614715,2016.0,narrative or expert review,biological,0.3485,1.0607919692993164,-1.3869178295135498,biological
record,pubmed_19289225,pubmed_19289225,2009.0,systematic review,biological,0.3501,9.346039772033691,-3.8239810466766357,biological
record,pubmed_40675665,pubmed_40675665,2025.0,systematic review,biological,0.3709,4.210710525512695,-1.4165608882904053,biological
record,pubmed_27325001,pubmed_27325001,2016.0,systematic review,psychological,0.3533,0.388177752494812,3.2088465690612793,psychological
record,pubmed_27246519,pubmed_27246519,2016.0,systematic review,psychological,0.3438,3.161714553833008,-3.563100576400757,psychological
record,pubmed_24602442,pubmed_24602442,2014.0,systematic review,psychological,0.3442,-0.12521977722644806,0.39012667536735535,psychological
record,pubmed_28947182,pubmed_28947182,2018.0,systematic review,psychological,0.3443,-1.5067801475524902,-1.7368658781051636,psychological
record,pubmed_22814445,pubmed_22814445,2012.0,systematic review,biological,0.3555,2.213423490524292,-9.616691589355469,biological
record,pubmed_1477890,pubmed_1477890,1992.0,narrative or expert review,biological,0.3412,0.8772559762001038,-9.52409553527832,biological
record,pubmed_12948346,pubmed_12948346,2003.0,narrative or expert review,psychological,0.3493,-2.287912368774414,-4.331630229949951,psychological
record,pubmed_17592957,pubmed_17592957,2007.0,narrative or expert review,biological,0.3492,-0.49315357208251953,-3.5349292755126953,biological
record,pubmed_18235536,pubmed_18235536,2008.0,narrative or expert review,psychological,0.3548,1.5670477151870728,-2.041332244873047,psychological
record,pubmed_24113949,pubmed_24113949,2013.0,narrative or expert review,biological,0.3408,3.4271087646484375,4.959921360015869,biological
record,pubmed_11092802,pubmed_11092802,2000.0,narrative or expert review,biological,0.3432,-2.4450340270996094,-6.25668478012085,biological
record,pubmed_37575343,pubmed_37575343,2023.0,systematic review,psychological,0.3443,6.214538097381592,1.2077691555023193,psychological
record,pubmed_32988440,pubmed_32988440,2020.0,narrative or expert review,biological,0.3349,1.8250094652175903,-10.948323249816895,biological
record,pubmed_27351769,pubmed_27351769,2016.0,narrative or expert review,biological,0.3458,2.581120729446411,-6.905766010284424,biological
record,pubmed_35645164,pubmed_35645164,2023.0,narrative or expert review,biological,0.3421,-2.469524383544922,-6.695987701416016,biological
record,pubmed_11762878,pubmed_11762878,2001.0,narrative or expert review,psychological,0.3402,-0.7455347180366516,-7.563713550567627,psychological
record,pubmed_33682560,pubmed_33682560,2021.0,systematic review,psychological,0.3492,8.675615310668945,-6.367245674133301,psychological
record,pubmed_36706441,pubmed_36706441,2023.0,narrative or expert review,psychological,0.3532,0.7182630896568298,-0.05021453648805618,psychological
record,pubmed_16968689,pubmed_16968689,2006.0,narrative or expert review,social,0.3425,5.019742012023926,-10.634754180908203,social
record,pubmed_40418249,pubmed_40418249,2025.0,systematic review,social,0.3378,5.851602554321289,-9.068103790283203,social
record,pubmed_10870733,pubmed_10870733,2000.0,narrative or expert review,psychological,0.3444,2.8488848209381104,-1.6598284244537354,psychological
record,pubmed_2181358,pubmed_2181358,1990.0,narrative or expert review,psychological,0.3448,7.447484016418457,2.519275188446045,psychological
