node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,pca_x,pca_y,parent_domain
record,pubmed_10870733,pubmed_10870733,2000.0,narrative or expert review,psychological,0.3444,-0.5177435,0.35601974,1.734668,12.7081995,psychological
record,pubmed_2181358,pubmed_2181358,1990.0,narrative or expert review,psychological,0.3448,-2.4082854,-6.2887273,6.26989,-1.6937013,psychological
record,pubmed_30520741,pubmed_30520741,2019.0,narrative or expert review,psychological,0.344,0.96020955,0.71961796,9.959664,9.089925,psychological
record,pubmed_26889614,pubmed_26889614,2016.0,systematic review,psychological,0.3383,3.8852866,-5.05104,5.9515758,-4.6127987,psychological
record,pubmed_29494401,pubmed_29494401,2018.0,narrative or expert review,biological,0.3638,-0.14047113,2.4278216,6.4618435,16.305355,biological
record,pubmed_35467583,pubmed_35467583,2022.0,narrative or expert review,biological,0.347,-1.9687796,-3.7918637,9.712146,8.4044895,biological
record,pubmed_27023418,pubmed_27023418,2016.0,meta-analysis,biological,0.3461,4.313626,3.6663964,4.6876616,6.294456,biological
record,pubmed_27902569,pubmed_27902569,2017.0,narrative or expert review,psychological,0.3468,1.8556424,1.9273193,2.2632666,9.914185,psychological
record,pubmed_31977935,pubmed_31977935,2020.0,systematic review,psychological,0.3419,6.3337526,-0.933136,14.609911,-8.836279,psychological
record,pubmed_40101218,pubmed_40101218,2025.0,systematic review,psychological,0.3447,4.7967997,1.2258842,5.851457,-3.1326268,psychological
record,pubmed_32871946,pubmed_32871946,2020.0,meta-analysis,psychological,0.3483,8.07427,0.2858671,13.435158,-9.235259,psychological
record,pubmed_27496639,pubmed_27496639,2016.0,narrative or expert review,biological,0.3422,4.0397387,7.2825465,12.2424345,-9.842365,biological
record,pubmed_24080806,pubmed_24080806,2013.0,narrative or expert review,psychological,0.3648,3.1983116,0.11394988,4.236972,4.301408,psychological
record,pubmed_24690764,pubmed_24690764,2014.0,narrative or expert review,psychological,0.3464,3.693491,-1.1858492,9.962606,6.7366447,psychological
record,pubmed_30893103,pubmed_30893103,2019.0,narrative or expert review,biological,0.3514,2.810698,0.9138227,7.292268,9.100805,biological
record,pubmed_22406986,pubmed_22406986,2012.0,narrative or expert review,psychological,0.353,2.705057,0.68044406,8.838665,8.131521,psychological
record,pubmed_23314014,pubmed_23314014,2013.0,narrative or expert review,psychological,0.348,1.0639371,0.5466534,7.3347855,10.479433,psychological
record,pubmed_26148424,pubmed_26148424,2016.0,narrative or expert review,biological,0.3547,-0.14609662,4.7479124,4.5087323,9.802161,biological
record,pubmed_41268985,pubmed_41268985,2025.0,scoping or mapping review,psychological,0.3619,5.187407,0.17547658,6.9413967,2.2515101,psychological
